2, "John Manager1", 1, 117768
4, "John Manager2", 2, 120041
6, "John Manager3", 3, 110310
8, "John Manager4", 4, 122488
10, "John Manager5", 5, 113915
12, "John Manager6", 6, 125352
14, "John Manager7", 7, 106870
16, "John Manager8", 8, 129037
18, "John Manager9", 9, 104325
20, "John Manager10", 10, 109048
22, "John Manager11", 11, 129822
24, "John Manager12", 12, 102087
26, "John Manager13", 13, 103218
28, "John Manager14", 14, 132012
30, "John Manager15", 15, 133480
32, "John Manager16", 16, 137663
34, "John Manager17", 17, 104891
36, "John Manager18", 18, 141491
38, "John Manager19", 19, 113719
40, "John Manager20", 20, 127029
42, "John Manager21", 21, 138670
44, "John Manager22", 22, 132310
46, "John Manager23", 23, 107493
48, "John Manager24", 24, 139716
50, "John Manager25", 25, 136806
52, "John Manager26", 26, 104313
54, "John Manager27", 27, 138388
56, "John Manager28", 28, 143551
58, "John Manager29", 29, 148989
60, "John Manager30", 30, 121451
62, "John Manager31", 31, 102315
64, "John Manager32", 32, 100949
66, "John Manager33", 33, 118834
68, "John Manager34", 34, 141450
70, "John Manager35", 35, 141355
72, "John Manager36", 36, 147379
74, "John Manager37", 37, 117178
76, "John Manager38", 38, 102663
78, "John Manager39", 39, 118517
80, "John Manager40", 40, 133652
82, "John Manager41", 41, 102090
84, "John Manager42", 42, 114337
86, "John Manager43", 43, 148269
88, "John Manager44", 44, 115814
90, "John Manager45", 45, 119736
92, "John Manager46", 46, 136861
94, "John Manager47", 47, 111993
96, "John Manager48", 48, 146457
98, "John Manager49", 49, 117518
100, "John Manager50", 50, 141033
102, "John Manager51", 51, 111967
104, "John Manager52", 52, 116863
106, "John Manager53", 53, 121047
108, "John Manager54", 54, 148919
110, "John Manager55", 55, 111113
112, "John Manager56", 56, 120784
114, "John Manager57", 57, 116185
116, "John Manager58", 58, 147007
118, "John Manager59", 59, 107052
120, "John Manager60", 60, 125041
122, "John Manager61", 61, 140263
124, "John Manager62", 62, 140523
126, "John Manager63", 63, 122141
128, "John Manager64", 64, 125945
130, "John Manager65", 65, 145937
132, "John Manager66", 66, 119336
134, "John Manager67", 67, 121734
136, "John Manager68", 68, 100966
138, "John Manager69", 69, 127802
140, "John Manager70", 70, 102409
142, "John Manager71", 71, 128908
144, "John Manager72", 72, 101261
146, "John Manager73", 73, 115536
148, "John Manager74", 74, 142760
150, "John Manager75", 75, 132208
152, "John Manager76", 76, 102673
154, "John Manager77", 77, 111731
156, "John Manager78", 78, 137119
158, "John Manager79", 79, 115028
160, "John Manager80", 80, 121154
162, "John Manager81", 81, 121074
164, "John Manager82", 82, 137473
166, "John Manager83", 83, 138507
168, "John Manager84", 84, 112135
170, "John Manager85", 85, 126925
172, "John Manager86", 86, 127880
174, "John Manager87", 87, 136029
176, "John Manager88", 88, 148136
178, "John Manager89", 89, 145173
180, "John Manager90", 90, 122276
182, "John Manager91", 91, 105938
184, "John Manager92", 92, 105036
186, "John Manager93", 93, 132311
188, "John Manager94", 94, 130822
190, "John Manager95", 95, 111422
192, "John Manager96", 96, 143694
194, "John Manager97", 97, 111747
196, "John Manager98", 98, 108134
198, "John Manager99", 99, 137561
200, "John Manager100", 100, 140901
202, "John Manager101", 101, 111053
204, "John Manager102", 102, 133951
206, "John Manager103", 103, 148046
208, "John Manager104", 104, 121671
210, "John Manager105", 105, 149081
212, "John Manager106", 106, 125069
214, "John Manager107", 107, 139759
216, "John Manager108", 108, 145059
218, "John Manager109", 109, 105309
220, "John Manager110", 110, 116172
222, "John Manager111", 111, 125643
224, "John Manager112", 112, 109427
226, "John Manager113", 113, 117539
228, "John Manager114", 114, 135284
230, "John Manager115", 115, 133800
232, "John Manager116", 116, 135878
234, "John Manager117", 117, 138871
236, "John Manager118", 118, 141030
238, "John Manager119", 119, 140001
240, "John Manager120", 120, 131257
242, "John Manager121", 121, 104451
244, "John Manager122", 122, 141877
246, "John Manager123", 123, 113340
248, "John Manager124", 124, 102968
250, "John Manager125", 125, 138821
252, "John Manager126", 126, 115833
254, "John Manager127", 127, 112937
256, "John Manager128", 128, 109161
258, "John Manager129", 129, 120631
260, "John Manager130", 130, 133746
262, "John Manager131", 131, 137763
264, "John Manager132", 132, 112059
266, "John Manager133", 133, 137094
268, "John Manager134", 134, 146209
270, "John Manager135", 135, 132560
272, "John Manager136", 136, 138229
274, "John Manager137", 137, 134241
276, "John Manager138", 138, 141352
278, "John Manager139", 139, 139868
280, "John Manager140", 140, 130675
282, "John Manager141", 141, 112421
284, "John Manager142", 142, 107458
286, "John Manager143", 143, 118936
288, "John Manager144", 144, 111867
290, "John Manager145", 145, 149172
292, "John Manager146", 146, 103620
294, "John Manager147", 147, 136419
296, "John Manager148", 148, 124986
298, "John Manager149", 149, 110194
300, "John Manager150", 150, 117015
302, "John Manager151", 151, 121329
304, "John Manager152", 152, 113368
306, "John Manager153", 153, 106813
308, "John Manager154", 154, 117766
310, "John Manager155", 155, 104248
312, "John Manager156", 156, 143293
